location,industry,fuels_consumed,date,value
aus,Manufacturing,Diesel,2004-05,10.8
aus,Manufacturing,LPG,2004-05,17
aus,Mining,Liquid/gasBiofuels,2004-05,0.2
aus,Mining,Electricity,2004-05,55.7
aus,Mining,Naturalgas,2004-05,116.2
aus,Mining,Fueloil,2004-05,0.5
aus,Mining,Diesel,2004-05,111.4
aus,Agriculture,Electricity,2004-05,8.7
aus,Agriculture,Naturalgas,2004-05,0.1
aus,Agriculture,Diesel,2004-05,86.8
aus,Agriculture,LPG,2004-05,1.4
aus,Mining,LPG,2004-05,1.3
aus,Manufacturing,Browncoal,2004-05,10.3
aus,Manufacturing,Blackcoal,2004-05,265.5
aus,Construction,Electricity,2005-06,0.3
aus,Construction,Naturalgas,2005-06,3.1
aus,Construction,Fueloil,2005-06,0.5
aus,Construction,Diesel,2005-06,22
aus,Construction,LPG,2005-06,0.2
aus,Transport_postal,Electricity,2005-06,13.4
aus,Transport_postal,Naturalgas,2005-06,18
aus,Transport_postal,Fueloil,2005-06,38.7
aus,Transport_postal,Diesel,2005-06,390.6
aus,Transport_postal,LPG,2005-06,68.4
aus,Commercial_services,Naturalgas,2005-06,42.6
aus,Commercial_services,Fueloil,2005-06,0.1
aus,Commercial_services,Diesel,2005-06,20.9
aus,Commercial_services,Solarenergy,2005-06,0.2
aus,Commercial_services,LPG,2005-06,3
aus,Commercial_services,Blackcoal,2005-06,0.9
aus,Commercial_services,Electricity,2005-06,189.2
aus,Transport_postal,Blackcoal,2005-06,6.9
aus,Electricity_gas_water_serv,LPG,2005-06,1.5
aus,Electricity_gas_water_serv,Browncoal,2005-06,717.2
aus,Electricity_gas_water_serv,Blackcoal,2005-06,1304
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2005-06,8
aus,Electricity_gas_water_serv,Electricity,2005-06,119
aus,Electricity_gas_water_serv,Naturalgas,2005-06,252.8
aus,Electricity_gas_water_serv,Fueloil,2005-06,6.4
aus,Electricity_gas_water_serv,Diesel,2005-06,30.9
aus,Residential,Blackcoal,2005-06,0.1
aus,Residential,Electricity,2005-06,201.5
aus,Residential,Solarenergy,2005-06,2.3
aus,Residential,Naturalgas,2005-06,132.5
aus,Residential,Diesel,2005-06,1.3
aus,Residential,LPG,2005-06,13.9
aus,Manufacturing,Liquid/gasBiofuels,2005-06,1.7
aus,Manufacturing,Electricity,2005-06,238.8
aus,Manufacturing,Naturalgas,2005-06,423
aus,Manufacturing,Fueloil,2005-06,35
aus,Manufacturing,Diesel,2005-06,10.2
aus,Mining,Liquid/gasBiofuels,2005-06,0.2
aus,Mining,Electricity,2005-06,66.1
aus,Mining,Naturalgas,2005-06,128.8
aus,Mining,Fueloil,2005-06,0.6
aus,Mining,Diesel,2005-06,105.7
aus,Agriculture,Electricity,2005-06,9
aus,Agriculture,Naturalgas,2005-06,0.1
aus,Agriculture,Diesel,2005-06,81.6
aus,Agriculture,LPG,2005-06,1.6
aus,Mining,LPG,2005-06,2
aus,Manufacturing,LPG,2005-06,19.7
aus,Manufacturing,Browncoal,2005-06,7.9
aus,Manufacturing,Blackcoal,2005-06,264.4
aus,Construction,Electricity,2006-07,0.3
aus,Construction,Naturalgas,2006-07,3.1
aus,Construction,Fueloil,2006-07,0.5
aus,Construction,Diesel,2006-07,22
aus,Construction,LPG,2006-07,0.3
aus,Transport_postal,Liquid/gasBiofuels,2006-07,1
aus,Transport_postal,Electricity,2006-07,13.9
aus,Transport_postal,Naturalgas,2006-07,18.6
aus,Transport_postal,Fueloil,2006-07,38.7
aus,Transport_postal,Diesel,2006-07,406.1
aus,Transport_postal,LPG,2006-07,62
aus,Commercial_services,Fueloil,2006-07,0.1
aus,Commercial_services,Diesel,2006-07,21.5
aus,Commercial_services,LPG,2006-07,3
aus,Commercial_services,Blackcoal,2006-07,0.9
aus,Commercial_services,Naturalgas,2006-07,42.5
aus,Commercial_services,Solarenergy,2006-07,0.2
aus,Commercial_services,Electricity,2006-07,202.2
aus,Transport_postal,Blackcoal,2006-07,7.4
aus,Electricity_gas_water_serv,LPG,2006-07,1
aus,Electricity_gas_water_serv,Browncoal,2006-07,714.4
aus,Electricity_gas_water_serv,Blackcoal,2006-07,1325.4
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2006-07,7.9
aus,Electricity_gas_water_serv,Electricity,2006-07,121.9
aus,Electricity_gas_water_serv,Naturalgas,2006-07,345.9
aus,Electricity_gas_water_serv,Fueloil,2006-07,5.9
aus,Electricity_gas_water_serv,Diesel,2006-07,29.4
aus,Residential,Blackcoal,2006-07,0.1
aus,Residential,Electricity,2006-07,207.7
aus,Residential,Solarenergy,2006-07,5.8
aus,Residential,Naturalgas,2006-07,134.5
aus,Residential,Diesel,2006-07,1.3
aus,Residential,LPG,2006-07,13.2
aus,Manufacturing,Liquid/gasBiofuels,2006-07,1.7
aus,Manufacturing,Electricity,2006-07,251.1
aus,Manufacturing,Naturalgas,2006-07,435.8
aus,Manufacturing,Fueloil,2006-07,33.1
aus,Manufacturing,Diesel,2006-07,11.9
aus,Manufacturing,LPG,2006-07,21.4
aus,Mining,Liquid/gasBiofuels,2006-07,0.2
aus,Mining,Electricity,2006-07,67.8
aus,Mining,Naturalgas,2006-07,151.4
aus,Mining,Fueloil,2006-07,0.6
